California, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199508,75.0,1.3
199608,76.7,3.0
199708,74.9,1.2
199808,77.2,3.5
199908,72.6,-1.1
200008,75.0,1.3
200108,76.0,2.3
200208,74.4,0.7
200308,75.0,1.3
200408,74.8,1.1
200508,75.8,2.1
200608,73.8,0.1
200708,76.1,2.4
200808,76.6,2.9
200908,74.8,1.1
201008,73.4,-0.3
201108,75.2,1.5
201208,77.8,4.1
201308,74.4,0.7
201408,74.9,1.2
201508,76.5,2.8
201608,76.2,2.5
201708,77.9,4.2
201808,76.4,2.7
201908,76.8,3.1
202008,79.0,5.3
