California, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199507,74.2,-0.5
199607,78.1,3.4
199707,74.0,-0.7
199807,76.0,1.3
199907,73.3,-1.4
200007,73.5,-1.2
200107,74.2,-0.5
200207,77.4,2.7
200307,78.7,4.0
200407,76.1,1.4
200507,78.4,3.7
200607,79.3,4.6
200707,76.9,2.2
200807,76.5,1.8
200907,77.6,2.9
201007,76.1,1.4
201107,74.2,-0.5
201207,74.7,0.0
201307,78.0,3.3
201407,78.4,3.7
201507,75.0,0.3
201607,76.8,2.1
201707,78.8,4.1
201807,79.6,4.9
201907,75.6,0.9
202007,76.7,2.0
