California, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199506,66.1,-2.2
199606,70.4,2.1
199706,68.4,0.1
199806,65.2,-3.1
199906,67.8,-0.5
200006,72.2,3.9
200106,71.4,3.1
200206,71.2,2.9
200306,71.2,2.9
200406,70.4,2.1
200506,66.2,-2.1
200606,73.2,4.9
200706,70.5,2.2
200806,71.1,2.8
200906,67.5,-0.8
201006,69.1,0.8
201106,66.9,-1.4
201206,69.3,1.0
201306,72.4,4.1
201406,71.9,3.6
201506,74.4,6.1
201606,73.5,5.2
201706,72.8,4.5
201806,71.4,3.1
201906,71.2,2.9
202006,70.5,2.2
