California, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199505,58.4,-2.3
199605,62.5,1.8
199705,67.6,6.9
199805,54.9,-5.8
199905,60.4,-0.3
200005,63.9,3.2
200105,68.6,7.9
200205,61.5,0.8
200305,62.0,1.3
200405,63.2,2.5
200505,62.2,1.5
200605,64.6,3.9
200705,64.1,3.4
200805,61.7,1.0
200905,66.7,6.0
201005,56.9,-3.8
201105,57.6,-3.1
201205,63.9,3.2
201305,63.8,3.1
201405,64.6,3.9
201505,60.8,0.1
201605,62.2,1.5
201705,63.4,2.7
201805,63.0,2.3
201905,58.6,-2.1
202005,64.7,4.0
