California, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199511,55.9,6.4
199611,51.1,1.6
199711,51.6,2.1
199811,48.8,-0.7
199911,53.0,3.5
200011,46.0,-3.5
200111,51.6,2.1
200211,52.3,2.8
200311,46.8,-2.7
200411,47.7,-1.8
200511,52.4,2.9
200611,51.3,1.8
200711,53.3,3.8
200811,53.9,4.4
200911,50.9,1.4
201011,48.6,-0.9
201111,48.2,-1.3
201211,52.5,3.0
201311,51.9,2.4
201411,53.1,3.6
201511,47.6,-1.9
201611,52.8,3.3
201711,53.4,3.9
201811,52.6,3.1
201911,53.0,3.5
