California, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199510,62.2,2.7
199610,59.2,-0.3
199710,59.0,-0.5
199810,57.7,-1.8
199910,63.7,4.2
200010,58.4,-1.1
200110,63.6,4.1
200210,59.4,-0.1
200310,65.4,5.9
200410,58.2,-1.3
200510,59.9,0.4
200610,58.8,-0.7
200710,58.6,-0.9
200810,61.8,2.3
200910,58.1,-1.4
201010,60.5,1.0
201110,61.4,1.9
201210,62.2,2.7
201310,58.5,-1.0
201410,64.4,4.9
201510,65.0,5.5
201610,60.5,1.0
201710,62.0,2.5
201810,60.9,1.4
201910,58.8,-0.7
202010,66.5,7.0
