Colorado, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199504,39.8,-2.7
199604,43.7,1.2
199704,38.4,-4.1
199804,41.0,-1.5
199904,40.1,-2.4
200004,46.4,3.9
200104,45.9,3.4
200204,47.3,4.8
200304,45.3,2.8
200404,44.4,1.9
200504,43.4,0.9
200604,47.1,4.6
200704,43.3,0.8
200804,40.9,-1.6
200904,42.0,-0.5
201004,43.6,1.1
201104,43.0,0.5
201204,48.2,5.7
201304,39.8,-2.7
201404,43.3,0.8
201504,44.8,2.3
201604,43.7,1.2
201704,44.3,1.8
201804,44.0,1.5
201904,45.4,2.9
202004,43.3,0.8
