Colorado, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199508,68.8,3.6
199608,66.1,0.9
199708,65.0,-0.2
199808,66.2,1.0
199908,65.5,0.3
200008,69.0,3.8
200108,66.9,1.7
200208,66.8,1.6
200308,68.4,3.2
200408,63.2,-2.0
200508,65.0,-0.2
200608,65.6,0.4
200708,68.8,3.6
200808,65.7,0.5
200908,64.8,-0.4
201008,66.5,1.3
201108,69.2,4.0
201208,67.7,2.5
201308,67.0,1.8
201408,64.6,-0.6
201508,66.9,1.7
201608,64.5,-0.7
201708,64.7,-0.5
201808,66.2,1.0
201908,68.3,3.1
202008,70.0,4.8
