Colorado, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199502,34.4,7.0
199602,30.8,3.4
199702,27.2,-0.2
199802,29.5,2.1
199902,33.3,5.9
200002,34.3,6.9
200102,28.2,0.8
200202,27.1,-0.3
200302,26.3,-1.1
200402,26.3,-1.1
200502,31.3,3.9
200602,28.0,0.6
200702,27.7,0.3
200802,27.6,0.2
200902,32.2,4.8
201002,24.6,-2.8
201102,24.2,-3.2
201202,27.4,0.0
201302,25.7,-1.7
201402,27.6,0.2
201502,32.1,4.7
201602,32.4,5.0
201702,35.4,8.0
201802,28.6,1.2
201902,24.9,-2.5
202002,26.5,-0.9
