Colorado, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199506,58.5,-2.7
199606,63.4,2.2
199706,62.2,1.0
199806,59.4,-1.8
199906,60.5,-0.7
200006,63.0,1.8
200106,63.9,2.7
200206,67.1,5.9
200306,60.1,-1.1
200406,60.8,-0.4
200506,60.9,-0.3
200606,65.7,4.5
200706,62.8,1.6
200806,61.6,0.4
200906,59.8,-1.4
201006,64.0,2.8
201106,62.9,1.7
201206,67.9,6.7
201306,65.6,4.4
201406,62.5,1.3
201506,64.9,3.7
201606,66.4,5.2
201706,64.8,3.6
201806,66.5,5.3
201906,60.6,-0.6
202006,65.0,3.8
