Colorado, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199509,57.4,0.1
199609,55.7,-1.6
199709,59.8,2.5
199809,62.5,5.2
199909,55.4,-1.9
200009,59.4,2.1
200109,60.3,3.0
200209,58.4,1.1
200309,56.7,-0.6
200409,57.7,0.4
200509,60.2,2.9
200609,53.5,-3.8
200709,59.7,2.4
200809,57.3,0.0
200909,57.6,0.3
201009,61.2,3.9
201109,58.5,1.2
201209,59.5,2.2
201309,60.7,3.4
201409,60.0,2.7
201509,62.6,5.3
201609,59.7,2.4
201709,59.1,1.8
201809,61.9,4.6
201909,62.9,5.6
202009,58.9,1.6
