Florida, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199508,82.4,1.3
199608,80.6,-0.5
199708,81.5,0.4
199808,82.7,1.6
199908,83.1,2.0
200008,81.7,0.6
200108,81.4,0.3
200208,81.1,0.0
200308,81.1,0.0
200408,81.4,0.3
200508,83.2,2.1
200608,82.8,1.7
200708,83.7,2.6
200808,81.3,0.2
200908,82.1,1.0
201008,83.5,2.4
201108,83.7,2.6
201208,81.5,0.4
201308,82.2,1.1
201408,82.9,1.8
201508,82.4,1.3
201608,83.0,1.9
201708,82.8,1.7
201808,82.2,1.1
201908,82.9,1.8
202008,83.2,2.1
