Florida, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199512,57.3,-1.5
199612,60.0,1.2
199712,58.9,0.1
199812,64.6,5.8
199912,59.0,0.2
200012,56.7,-2.1
200112,64.1,5.3
200212,57.3,-1.5
200312,56.1,-2.7
200412,58.0,-0.8
200512,57.0,-1.8
200612,64.2,5.4
200712,64.4,5.6
200812,62.0,3.2
200912,60.4,1.6
201012,50.1,-8.7
201112,62.8,4.0
201212,62.0,3.2
201312,64.7,5.9
201412,61.9,3.1
201512,69.6,10.8
201612,65.9,7.1
201712,61.7,2.9
201812,61.8,3.0
201912,63.8,5.0
