Florida, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199503,66.5,2.5
199603,60.6,-3.4
199703,70.5,6.5
199803,62.2,-1.8
199903,62.6,-1.4
200003,67.6,3.6
200103,64.3,0.3
200203,66.6,2.6
200303,69.8,5.8
200403,65.7,1.7
200503,63.0,-1.0
200603,64.8,0.8
200703,66.3,2.3
200803,64.7,0.7
200903,65.3,1.3
201003,59.0,-5.0
201103,66.5,2.5
201203,70.3,6.3
201303,59.1,-4.9
201403,63.5,-0.5
201503,69.5,5.5
201603,68.8,4.8
201703,66.2,2.2
201803,63.0,-1.0
201903,65.7,1.7
202003,71.0,7.0
