Florida, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199509,79.9,0.8
199609,79.1,0.0
199709,79.8,0.7
199809,80.3,1.2
199909,78.9,-0.2
200009,79.5,0.4
200109,77.6,-1.5
200209,81.0,1.9
200309,78.9,-0.2
200409,79.9,0.8
200509,80.8,1.7
200609,79.3,0.2
200709,80.5,1.4
200809,79.7,0.6
200909,80.5,1.4
201009,80.9,1.8
201109,79.7,0.6
201209,79.5,0.4
201309,80.0,0.9
201409,79.7,0.6
201509,80.0,0.9
201609,81.1,2.0
201709,80.4,1.3
201809,82.4,3.3
201909,81.9,2.8
202009,80.6,1.5
