Maryland, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199504,52.8,0.7
199604,53.4,1.3
199704,50.4,-1.7
199804,55.1,3.0
199904,53.5,1.4
200004,52.7,0.6
200104,54.5,2.4
200204,56.6,4.5
200304,52.6,0.5
200404,54.3,2.2
200504,54.7,2.6
200604,56.3,4.2
200704,51.1,-1.0
200804,55.6,3.5
200904,54.8,2.7
201004,57.5,5.4
201104,56.7,4.6
201204,54.2,2.1
201304,54.4,2.3
201404,52.7,0.6
201504,54.0,1.9
201604,53.1,1.0
201704,59.5,7.4
201804,50.7,-1.4
201904,57.7,5.6
202004,51.6,-0.5
