Maryland, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199502,31.7,-2.1
199602,34.1,0.3
199702,40.0,6.2
199802,40.5,6.7
199902,37.5,3.7
200002,38.7,4.9
200102,38.0,4.2
200202,39.8,6.0
200302,31.0,-2.8
200402,34.5,0.7
200502,36.5,2.7
200602,36.1,2.3
200702,28.3,-5.5
200802,37.2,3.4
200902,37.2,3.4
201002,30.8,-3.0
201102,37.6,3.8
201202,40.5,6.7
201302,34.5,0.7
201402,32.8,-1.0
201502,25.3,-8.5
201602,36.9,3.1
201702,43.7,9.9
201802,41.6,7.8
201902,37.5,3.7
202002,40.8,7.0
