Maryland, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199501,36.6,4.2
199601,30.6,-1.8
199701,33.3,0.9
199801,40.3,7.9
199901,36.1,3.7
200001,32.5,0.1
200101,32.2,-0.2
200201,39.0,6.6
200301,28.6,-3.8
200401,28.1,-4.3
200501,33.9,1.5
200601,41.1,8.7
200701,38.5,6.1
200801,35.7,3.3
200901,29.3,-3.1
201001,32.2,-0.2
201101,29.6,-2.8
201201,37.4,5.0
201301,36.3,3.9
201401,27.8,-4.6
201501,30.7,-1.7
201601,32.1,-0.3
201701,38.3,5.9
201801,31.0,-1.4
201901,33.9,1.5
202001,39.0,6.6
