Maryland, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199511,40.9,-3.9
199611,40.4,-4.4
199711,43.2,-1.6
199811,46.7,1.9
199911,50.7,5.9
200011,43.3,-1.5
200111,50.8,6.0
200211,44.7,-0.1
200311,50.6,5.8
200411,48.3,3.5
200511,48.5,3.7
200611,49.1,4.3
200711,45.6,0.8
200811,44.4,-0.4
200911,49.6,4.8
201011,46.1,1.3
201111,49.5,4.7
201211,42.6,-2.2
201311,43.3,-1.5
201411,42.7,-2.1
201511,50.5,5.7
201611,47.7,2.9
201711,45.8,1.0
201811,43.4,-1.4
201911,42.6,-2.2
