Maryland, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199510,59.0,3.2
199610,56.0,0.2
199710,55.9,0.1
199810,57.0,1.2
199910,54.8,-1.0
200010,57.2,1.4
200110,56.5,0.7
200210,56.3,0.5
200310,54.7,-1.1
200410,55.7,-0.1
200510,57.8,2.0
200610,55.0,-0.8
200710,63.3,7.5
200810,55.2,-0.6
200910,55.4,-0.4
201010,57.8,2.0
201110,55.9,0.1
201210,57.5,1.7
201310,58.1,2.3
201410,58.2,2.4
201510,55.6,-0.2
201610,59.4,3.6
201710,61.2,5.4
201810,59.0,3.2
201910,60.3,4.5
202010,59.4,3.6
