Massachusetts, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199504,43.5,-1.2
199604,45.2,0.5
199704,43.4,-1.3
199804,47.2,2.5
199904,46.6,1.9
200004,45.1,0.4
200104,45.9,1.2
200204,48.5,3.8
200304,42.9,-1.8
200404,46.9,2.2
200504,48.0,3.3
200604,47.7,3.0
200704,43.3,-1.4
200804,47.9,3.2
200904,48.3,3.6
201004,50.6,5.9
201104,47.7,3.0
201204,48.7,4.0
201304,46.3,1.6
201404,45.9,1.2
201504,45.5,0.8
201604,45.0,0.3
201704,50.2,5.5
201804,42.3,-2.4
201904,47.7,3.0
202004,43.1,-1.6
