Massachusetts, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199512,25.1,-3.0
199612,34.9,6.8
199712,31.0,2.9
199812,35.6,7.5
199912,32.8,4.7
200012,25.0,-3.1
200112,35.9,7.8
200212,28.5,0.4
200312,31.4,3.3
200412,30.0,1.9
200512,28.0,-0.1
200612,37.0,8.9
200712,28.4,0.3
200812,31.4,3.3
200912,29.0,0.9
201012,27.8,-0.3
201112,35.8,7.7
201212,34.7,6.6
201312,29.4,1.3
201412,34.7,6.6
201512,41.8,13.7
201612,31.0,2.9
201712,26.6,-1.5
201812,32.1,4.0
201912,30.6,2.5
