Massachusetts, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199503,37.5,3.3
199603,31.8,-2.4
199703,33.7,-0.5
199803,37.9,3.7
199903,36.4,2.2
200003,40.6,6.4
200103,32.5,-1.7
200203,37.1,2.9
200303,34.5,0.3
200403,36.6,2.4
200503,31.2,-3.0
200603,35.4,1.2
200703,34.0,-0.2
200803,34.6,0.4
200903,35.3,1.1
201003,41.4,7.2
201103,35.4,1.2
201203,44.1,9.9
201303,34.9,0.7
201403,29.1,-5.1
201503,29.3,-4.9
201603,41.0,6.8
201703,31.5,-2.7
201803,34.8,0.6
201903,33.7,-0.5
202003,40.2,6.0
