Washington, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199508,60.2,-3.3
199608,64.8,1.3
199708,66.5,3.0
199808,66.8,3.3
199908,65.6,2.1
200008,63.4,-0.1
200108,66.0,2.5
200208,63.6,0.1
200308,65.9,2.4
200408,67.0,3.5
200508,65.8,2.3
200608,64.2,0.7
200708,63.3,-0.2
200808,64.0,0.5
200908,65.4,1.9
201008,63.5,0.0
201108,64.9,1.4
201208,66.2,2.7
201308,66.2,2.7
201408,67.3,3.8
201508,66.6,3.1
201608,65.9,2.4
201708,68.6,5.1
201808,66.0,2.5
201908,66.4,2.9
202008,65.7,2.2
