Washington, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199501,32.6,4.2
199601,29.0,0.6
199701,30.4,2.0
199801,32.0,3.6
199901,34.3,5.9
200001,30.4,2.0
200101,31.8,3.4
200201,32.9,4.5
200301,36.1,7.7
200401,29.8,1.4
200501,31.5,3.1
200601,35.9,7.5
200701,28.6,0.2
200801,27.4,-1.0
200901,30.1,1.7
201001,36.3,7.9
201101,32.1,3.7
201201,30.7,2.3
201301,29.1,0.7
201401,34.1,5.7
201501,35.1,6.7
201601,33.0,4.6
201701,24.8,-3.6
201801,35.4,7.0
201901,34.2,5.8
202001,34.2,5.8
