Washington, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199506,58.1,0.4
199606,57.2,-0.5
199706,56.9,-0.8
199806,58.8,1.1
199906,56.0,-1.7
200006,58.5,0.8
200106,55.6,-2.1
200206,59.5,1.8
200306,60.8,3.1
200406,60.4,2.7
200506,57.0,-0.7
200606,59.8,2.1
200706,57.5,-0.2
200806,56.2,-1.5
200906,59.9,2.2
201006,55.9,-1.8
201106,55.5,-2.2
201206,55.0,-2.7
201306,58.7,1.0
201406,58.3,0.6
201506,65.5,7.8
201606,59.9,2.2
201706,59.5,1.8
201806,58.2,0.5
201906,59.5,1.8
202006,57.9,0.2
