Washington, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199505,54.6,2.8
199605,48.2,-3.6
199705,54.5,2.7
199805,52.9,1.1
199905,48.5,-3.3
200005,51.1,-0.7
200105,53.1,1.3
200205,49.7,-2.1
200305,51.3,-0.5
200405,52.4,0.6
200505,54.7,2.9
200605,53.0,1.2
200705,52.9,1.1
200805,53.1,1.3
200905,52.3,0.5
201005,48.7,-3.1
201105,48.6,-3.2
201205,50.9,-0.9
201305,53.5,1.7
201405,54.3,2.5
201505,56.0,4.2
201605,55.1,3.3
201705,53.7,1.9
201805,57.6,5.8
201905,55.5,3.7
202005,53.3,1.5
