Washington, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199511,40.2,3.6
199611,35.3,-1.3
199711,39.6,3.0
199811,39.6,3.0
199911,41.1,4.5
200011,32.6,-4.0
200111,39.7,3.1
200211,39.2,2.6
200311,33.3,-3.3
200411,38.1,1.5
200511,35.7,-0.9
200611,36.1,-0.5
200711,36.4,-0.2
200811,40.2,3.6
200911,38.0,1.4
201011,34.8,-1.8
201111,35.3,-1.3
201211,39.0,2.4
201311,36.7,0.1
201411,36.3,-0.3
201511,36.0,-0.6
201611,43.0,6.4
201711,37.7,1.1
201811,38.6,2.0
201911,37.6,1.0
