Washington, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199510,45.4,-1.8
199610,45.9,-1.3
199710,46.3,-0.9
199810,47.0,-0.2
199910,46.7,-0.5
200010,46.8,-0.4
200110,45.7,-1.5
200210,45.5,-1.7
200310,50.6,3.4
200410,48.5,1.3
200510,48.4,1.2
200610,47.0,-0.2
200710,45.6,-1.6
200810,46.6,-0.6
200910,44.2,-3.0
201010,48.6,1.4
201110,47.2,0.0
201210,47.4,0.2
201310,46.1,-1.1
201410,51.9,4.7
201510,52.4,5.2
201610,47.4,0.2
201710,46.2,-1.0
201810,47.4,0.2
201910,42.7,-4.5
202010,48.3,1.1
